county,template,filename,manifest_count
fresno_madera,cas,2024AR_Silveira Dairy_11277 Ave 21.5_Madera.pdf,5
fresno_madera,cas,2024AR_Thommen Dairy_53955 W Nees Ave_Fresno.pdf,2
fresno_madera,cas,2024AR_Jose D Soares Dairy_19045 Road 1_Madera.pdf,0
fresno_madera,cas,2024AR_Silveira Heifers (merged w Silveira Dairy)_10221 Ave 21.5_Madera.pdf,0
fresno_madera,generic_r5,2024AR_J&D Wilson Dry Cows_430 W Mt. Whitney Ave_Fresno.pdf,2
fresno_madera,generic_r5,2024AR_Mt. Whitney Dairy_2792 W Mt. Whitney Ave_Fresno.pdf,3
fresno_madera,generic_r5,2024AR_A.T.O. Dairy_19249 S Fruit Ave_Fresno.pdf,0
fresno_madera,generic_r5,2024AR_Kerman Cattle Company_4301 S Dickenson Ave_Fresno.pdf,1
fresno_madera,generic_r5,2024AR_CSUF Dairy_5450 N Sierra Vista Ave_Fresno.pdf,0
fresno_madera,generic_r5,2024AR_Gerrit Visser & Sons Dairy_18565 S Marks Ave_Fresno.pdf,1
fresno_madera,generic_r5,2024AR_Fagundes Dairy_23548 Road 12_Madera.pdf,0
fresno_madera,generic_r5,2024AR_Costa View Dairy North_9499 Ave 20_Madera.pdf,1
fresno_madera,generic_r5,2024AR_South Point Ranch_13668 Ave 13_Madera.pdf,0
fresno_madera,generic_r5,2024AR_Alfred Soares Dairy_21282 Road 6_Madera.pdf,0
fresno_madera,generic_r5,2024AR_Open Sky Heifer Ranch (former Morning Star Dairy)_10032 W Elkhorn Ave_Fresno.pdf,5
fresno_madera,generic_r5,2024AR_Black Diamond Dairy_10467 W Kamm Ave_Fresno.pdf,0
fresno_madera,generic_r5,2024AR_Shady Acres Dairy #2_15391 W Elkhorn Ave_Fresno.pdf,0
fresno_madera,generic_r5,2024AR_South Iest Dairy (former Milk Time Dairy)_12519 Road 16_Madera.pdf,3
fresno_madera,generic_r5,2024AR_LaSalle Dairy_10663 7.5 Ave_Madera.pdf,2
fresno_madera,generic_r5,2024AR_Rivas Dairy_41198 W Valeria Ave_Fresno.pdf,2
fresno_madera,generic_r5,2024AR_El Dorado Ranches Dairy_23025 W American Ave_Fresno.pdf,0
fresno_madera,generic_r5,2024AR_Adams Dairy_16661 S Fowler Ave_Fresno.pdf,0
fresno_madera,generic_r5,2024AR_Coelho Farms Dairy_21656 S Cornelia Ave_Fresno.pdf,0
fresno_madera,generic_r5,2024AR_AJ Selnders Dairy_625 E Coleman Ave_Fresno.pdf,4
