Source PDF,Manifest Number,Start Page,End Page,Origin Dairy Name,Origin Dairy Address,Origin Dairy Latitude (Geocoded),Origin Dairy Longitude (Geocoded),Destination Address Final,Destination Address Final Source,Destination Type (Standardized),Destination Latitude (Geocoded),Destination Longitude (Geocoded),First Haul Date,Last Haul Date,Is Pipeline,Is Trucked,Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Total Process Wastewater Exports (Gallons),"Number of <8,000 gal Hauls for Analysis","Number of >=8,000 gal Hauls for Analysis",origin_dest_miles
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",25,81,82,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,37.424464597099,-120.941026742077,057-012-015,Destination Assessor Parcel Number,Blank,38.092463,-120.485064,,2024-10-26,False,,,,,,525000.0,0,52,52.399766580191226
10213 W Main St Turlock 2024 Dairy AR,9,170,171,Robert Goletti + Sons Dairy,10213 W. Main St. Turlock 95380,37.493113389934,-120.96564380497,058-018-001,Destination Assessor Parcel Number,Blank,38.081455,-120.556998,,2024-09-11,False,True,9500.0,2.0,,,650750.0,0,2,46.33257368863053
12530 Warnerville Rd Oakdale 2024 Dairy AR,2,70,71,Cross View Dairy,12530 Warnerville Road. Oakdale CA 95361,37.737204971601,-120.764462622239,010-020-018,Destination Assessor Parcel Number,Blank,33.316516,-115.956004,,2024-05-01,False,True,,,,,1200000.0,0,120,407.6947281308979
12997 E Peltier Rd Acampo 2024 Dairy AR,8,73,74,Silva Brothers Dairy #1,12997 E. Peltier Road Acampo CA 95220,38.192345331513,-121.157779405433,"007-280-29,007-280-30",Destination Assessor Parcel Number,Blank,33.744888,-117.899511,2024-06-24,2024-07-01,False,True,,,,,4187310.0,0,419,356.83136127601955
14903 S Volta Rd Los Banos 2024 Dairy AR,1,32,33,Ivy Star Dairy Llc,14903 Volta Rd Los Banos Merced 93635,37.071781268842,-120.928324051634,720 Jefferson Ave Los Banos 93635 Merced,Destination Address,Farmer,37.054165422979,-120.846201632686,,2024-04-30,False,True,10000.0,282.0,,,2820000.0,0,282,4.698148403692948
18037 S Center Ave Los Banos 2024 Dairy AR,3,84,85,Rodoni Dairy Farms Lp,18037 S Center Ave Los Banos Merced 93635,37.048411780859,-120.853787931045,19556 W. Charleston Los Banos 93635 Merced,Destination Address,Farmer,36.983929275331,-120.848290161018,,2024-10-10,False,,,,,,4398500.0,0,440,4.456997256197685
19325 E Lone Tree Rd Escalon 2024 Dairy AR,2,21,22,Doornenbal Dairy #3,19325 Lone Tree Road Escalon CA 95320,37.827766490089,-121.074046623462,205-060-07,Destination Assessor Parcel Number,Blank,37.749662,-121.850436,,2024-04-01,False,True,8400.0,100.0,,,840000.0,0,100,42.83386914063674
19325 E Lone Tree Rd Escalon 2024 Dairy AR,3,23,24,Doornenbal Dairy #3,19325 Lone Tree Road Escalon CA 95320,37.827766490089,-121.074046623462,205-060-07,Destination Assessor Parcel Number,Blank,37.749662,-121.850436,,2024-05-18,False,,8400.0,250.0,,,2100000.0,0,250,42.83386914063674
"20326 Johnson Ave, Hilmar 2024 Dairy AR",13,59,60,Gold Medal Ag Llc #2,20326 Johnson Ave Hilmar Merced 95324,37.433340184494,-120.856819756446,3605 Soderquist Ave Turlock 95380 Stanislaus,Destination Address,Broker,37.459491330418,-120.862825255348,,2024-09-27,False,True,,,,,570000.0,0,57,1.8334556587655138
22426 E Monte Vista Ave Denair 2024 Dairy AR,1,41,42,Sierra Vista Dairy,22426 E. Monte Vista Ave. Denaiir 95316,37.520565061076,-120.62907438174,042-150-062,Destination Assessor Parcel Number,Blank,37.530947,-122.305974,,2024-11-12,False,True,9500.0,247.0,,,2346500.0,0,247,92.10719551446566
22426 E Monte Vista Ave Denair 2024 Dairy AR,2,43,44,Sierra Vista Dairy,22426 E. Monte Vista Ave. Denaiir 95316,37.520565061076,-120.62907438174,042-020-025,Destination Assessor Parcel Number,Blank,36.857866,-120.440422,,2024-11-12,False,True,9500.0,55.0,,,522500.0,0,55,46.87031207605167
22426 E Monte Vista Ave Denair 2024 Dairy AR,3,45,46,Sierra Vista Dairy,22426 E. Monte Vista Ave. Denaiir 95316,37.520565061076,-120.62907438174,,,Blank,,,,2024-11-12,False,True,9500.0,41.0,,,389500.0,0,41,
22759 S Mercy Springs Rd Los Banos 2024 Dairy AR,1,59,60,Teixeira & Sons (Formerly John & Nicole Santos Dairy),22759 S Mercey Springs Rd Los Banos Merced 93635,36.957177099286,-120.839305222425,Los Banos 93635 Mercy Springs Merced,Destination Address,Farmer,37.115572851786,-120.834801599578,,2024-01-01,False,True,10000.0,370.0,,,3700000.0,0,370,10.92560768775725
24065 E Arthur Rd Escalon 2024 Dairy AR,1,48,49,R&S Dairy,24065 E. Arthur Road Escalon CA 95320,37.8133004,-121.0144209,229-070-09,Destination Assessor Parcel Number,Blank,33.945546,-117.391368,2024-05-01,2024-05-05,False,True,,,,,2400000.0,0,240,335.2485522392746
2024AR_Decade Dairy_3313 Avenue 256_W Tulare,1,35,36,Decade Dairy,3313 Avenue 256 Tulare CA 93274,36.255277433231,-119.529051797762,Tri Palm Dairy 2429 Idaho Avenude Hanford CA 93230,Destination Contact Address,Farmer,36.268825999586,-119.499869970372,2024-04-15,2024-07-18,False,,,,,,7168656.0,0,717,1.8782729830789848
2024AR_Scheenstra Dairy_16800 Road 96_W Tulare,1,141,142,Scheenstra Dairy,16800 Rd 96 Tipton 93272,36.095494253402,-119.357710026157,"228-090-004,228-090-013",Destination Assessor Parcel Number,Blank,36.107228,-119.344429,2024-01-01,2024-12-31,False,,,,,,32000000.0,0,3200,1.0985138417021458
